0	174	130	113
1	166	126	113
1	182	133	99
7	191	130	100
0	176	134	106
8	181	125	103
5	183	133	109
10	177	129	111
0	183	143	100
-4	180	150	105
-1	170	141	111
-2	168	150	116
6	167	140	126
4	171	148	115
3	176	146	111
1	175	153	116
0	176	155	110
-1	182	159	103
3	180	157	106
6	184	154	115
0	158	162	130
6	177	159	124
1	171	159	111
7	188	158	106
6	196	163	91
6	183	162	104
7	191	167	106
10	193	168	103
14	199	162	99
13	181	166	114
15	185	164	104
15	193	170	102
14	197	168	94
21	196	169	99
18	188	179	107
22	176	172	109
25	175	165	123
26	171	170	112
26	190	169	106
30	174	167	113
27	172	175	115
25	168	180	127
22	163	184	122
28	176	184	125
31	169	182	117
34	186	179	111
54	181	165	110
53	184	164	120
53	174	170	119
43	179	187	117
51	168	177	128
50	178	179	123
50	170	186	125
58	159	178	134
60	151	177	138
53	164	182	125
55	174	194	116
59	184	199	123
57	162	199	127
67	180	191	133
68	163	196	134
70	170	202	138
67	175	198	121
73	188	199	117
83	176	196	124
79	160	206	133
79	174	202	128
80	167	200	126
83	156	201	135
87	158	202	154
86	163	212	133
97	152	200	142
96	171	201	133
95	171	207	123
95	187	209	136
93	182	217	138
104	172	208	138
98	183	228	120
107	176	220	133
106	175	227	132
112	180	223	127
112	173	223	134
106	178	234	139
107	181	233	127
119	181	228	127
117	181	237	127
115	168	240	132
124	180	235	141
120	182	243	125
124	177	246	136
135	170	233	152
130	157	244	148
119	168	266	154
127	157	263	145
126	158	278	155
134	165	265	145
139	155	265	151
140	168	272	141
149	165	265	147
151	166	263	145
143	171	288	138
150	153	287	155
152	151	285	153
157	169	285	158
149	159	283	173
158	166	282	157
166	159	286	162
163	153	287	155
176	159	277	165
179	155	278	155
201	159	269	159
190	158	283	152
194	160	281	165
199	153	281	175
208	160	270	161
208	153	287	172
212	149	288	162
221	160	270	168
222	151	293	163
205	148	320	164
212	152	310	156
221	152	308	169
231	157	304	164
243	160	292	171
238	154	314	164
242	147	317	169
254	145	302	174
253	140	310	191
261	140	313	188
262	131	315	185
262	140	322	185
264	136	326	190
268	130	347	195
256	144	356	192
268	147	362	179
277	154	356	167
278	142	349	194
292	142	341	183
301	146	336	190
290	147	338	187
306	137	333	191
312	132	327	192
306	145	327	187
311	141	323	195
326	147	300	195
327	139	313	203
334	134	304	206
334	144	305	195
340	144	306	194
338	136	303	203
353	136	291	206
363	127	284	220
369	118	278	225
374	130	272	214
368	132	267	215
